title,description,department
Inventory barcode scanner not reading ,The barcode scanner used in the warehouse for inventory tracking is not reading barcodes correctly. This is causing inventory count errors and dispatch delays.,Operations
Production target not met this quarter,Operations failed to meet the quarterly production target by 12 percent. A report on contributing factors and corrective measures is needed for the management review.,Operations
Cold storage temperature alarm ,The cold storage unit for perishable inventory triggered a temperature alarm overnight. Stock may be compromised. Immediate assessment is needed.,Operations
Product recall notification not received ,Customer read in the news about a recall of a product they purchased from this platform but did not receive any recall notification from the company.,Customer Support
Moonlighting policy clarification ,An employee has asked HR for clarification on whether they are permitted to take on freelance work outside of office hours under the current employment contract.,HR
Bluetooth keyboard pairing issue ,Employee received a Bluetooth keyboard as part of a hardware refresh but it cannot be paired with their laptop. Multiple attempts have been unsuccessful.,IT Support
Corporate Wi-Fi not connecting on new device ,A newly issued tablet cannot connect to the corporate wireless network. The device can see the network but authentication fails repeatedly.,IT Support
Complaint about misleading advertisement ,Customer purchased a product based on an advertisement that showed features not present in the actual product. Requesting refund and ad retraction.,Customer Support
Product recall notification not received ,Customer read in the news about a recall of a product they purchased from this platform but did not receive any recall notification from the company.,Customer Support
Customer advance receipt accounting ,Sales team received a large advance payment from a new customer. Finance needs guidance on how to record and report this in the financial statements.,Finance
Project invoice raised to wrong client ,Finance team discovered that an invoice was raised to Client A for work done for Client B. Correction and reissuance needed before payment is received.,Finance
Cybersecurity incident report filing ,"Following a phishing attack that compromised one employee account, IT needs to complete the mandatory cybersecurity incident report for the compliance team.",IT Support
Sabbatical leave request ,A long-serving employee is requesting a 3-month unpaid sabbatical leave for personal development purposes. Policy allows this after 7 years of service.,HR
IP address conflict on network ,Two devices on the local network have been assigned the same static IP address causing intermittent connectivity loss for both. DHCP configuration review needed.,IT Support
Promotion announcement communication ,Three employees have been promoted and HR needs to coordinate with their managers to send formal announcement communications to their respective teams.,HR
Logistics software system error ,The logistics management software is displaying incorrect vehicle tracking information. Dispatch team is unable to monitor delivery status in real time.,Operations
Regional office closure decision ,Declining business in one regional office makes it economically unviable to continue operating. Manager is presenting closure options and financial implications.,Manager
New hire pre-employment health check ,Two new employees joining next month need pre-employment medical examinations as required for their specific roles. Appointments need to be scheduled.,HR
Third-party audit finding response plan ,External audit identified control gaps in the department's processes. Manager is requesting time to present the corrective action plan to senior leadership.,Manager
Email newsletter has broken images ,Customer receives the weekly newsletter but all images are broken and only image placeholder icons are visible. Text content is readable.,Customer Support
Partial order delivered ,Customer received only 2 out of 4 items ordered. The packing slip inside shows all 4 items but only 2 were physically in the box.,Customer Support
Vendor payment on credit hold ,Procurement placed a vendor on credit hold due to quality issues. Finance needs to confirm whether pending invoices from this vendor should still be paid.,Finance
Product listing shows wrong specifications ,Customer purchased a laptop based on the listed specifications but the delivered product has a lower RAM configuration than what was advertised online.,Customer Support
Audit committee presentation preparation ,"Finance is preparing the quarterly presentation for the audit committee covering financial performance, risk areas and compliance status for review.",Finance
Product photo submission not credited ,Customer submitted a product photo for the community gallery as part of a rewards program but did not receive the promised credit points.,Customer Support
Production planning data not updated ,The production planning team's data in the ERP system has not been updated with this week's actual production figures. Reports are showing stale data.,Operations
Customer charged after free trial,Customer signed up for a free trial and claims they cancelled before the trial ended but was still charged for the first month of the paid plan.,Customer Support
API access token expired ,A developer's API access token for an internal service has expired. Requests are returning 401 unauthorized errors and token renewal process is unclear.,IT Support
Shipping insurance claim not processed ,Customer paid for shipping insurance on a high-value item that was lost in transit. The insurance claim filed 3 weeks ago has not been processed.,Customer Support
Work order system not updating status ,Maintenance work orders completed by technicians are not updating to completed status in the system. Manual tracking is creating reporting inaccuracies.,Operations
Teams meeting recording not available ,A recorded Teams meeting from last week is not appearing in the meeting chat or in the employee's OneDrive recordings folder. Recording was confirmed during the call.,IT Support
Bulk order pricing not applied ,Customer placed an order for 50 units expecting bulk pricing as advertised on the website but was charged the standard per-unit price.,Customer Support
Mobile device remotely wiped incorrectly ,An employee's company phone was remotely wiped by IT due to a mistaken identity during a theft response. Device is now blank and data is lost.,IT Support
Attrition rate increase investigation ,Attrition in the technology department has increased to 28 percent in the last 6 months. HR is initiating an investigation including exit interview analysis.,HR
Quarterly goals review and reset ,Mid-year review shows some departmental goals are no longer achievable due to market changes. Requesting management approval to reset two specific team targets.,Manager
Intranet page returning error 500 ,"The company intranet homepage is showing an internal server error for all users. This is preventing employees from accessing news, policies and HR resources.",IT Support
Staff augmentation request ,A department experiencing a temporary workload spike is requesting 4 contract staff for a 2-month period to manage project delivery without permanent headcount.,HR
Shipping insurance claim not processed ,Customer paid for shipping insurance on a high-value item that was lost in transit. The insurance claim filed 3 weeks ago has not been processed.,Customer Support
Recall management coordination ,"Quality team has initiated a product recall affecting 3,000 units. Operations must coordinate the logistics of collecting, tracking and disposing of recalled goods.",Operations
Company social event planning ,"HR is planning the annual company social event and needs to confirm the budget, venue, date and activity options with management before sending invites.",HR
Competency framework rollout ,HR is rolling out a new competency framework across the organization and needs department heads to map their team roles to the new competency levels.,HR
Counterfeit product suspected ,Customer suspects the branded product they received is counterfeit based on poor print quality on the packaging and slight differences in product appearance.,Customer Support
Approval for crisis communication plan ,Reputational risk team has prepared a crisis communication playbook. Requesting senior management review and approval for it to be adopted as official policy.,Manager
Unable to update payment method ,Customer is trying to add a new credit card to their account but the payment section keeps showing a loading spinner without saving the card.,Customer Support
Foreign vendor payment blocked by bank ,An international wire transfer to a foreign vendor was blocked by the bank citing regulatory compliance review. Vendor is waiting for urgent payment.,Finance
Prepaid expense amortization schedule error ,The prepaid expense amortization schedule has an error in the monthly amounts due to a formula mistake. All future months need to be recalculated.,Finance
Store credit not applied at checkout ,Customer has store credit in their account but the option to apply it during checkout is not visible. Credit shows correctly on the account page.,Customer Support
Customer advance receipt accounting ,Sales team received a large advance payment from a new customer. Finance needs guidance on how to record and report this in the financial statements.,Finance
Multi-factor authentication app switch ,IT is migrating all users from one authenticator app to another and needs to coordinate the transition with all employees to avoid login disruptions.,IT Support
Advance payment to new supplier query ,Procurement is asking whether Finance can make a partial advance payment to a new supplier before the purchase order is formally approved.,Finance
Complaint about misleading advertisement,Customer purchased a product based on an advertisement that showed features not present in the actual product. Requesting refund and ad retraction.,Customer Support
Cross-border payroll compliance query ,An employee who has been working from another country for 6 months has raised questions about cross-border payroll tax and social security implications.,HR
Contract manufacturer capacity shortage ,The contract manufacturer has informed that they cannot meet the agreed monthly production volumes due to their own capacity constraints.,Operations
Digital HR system migration ,HR is migrating from the legacy HR system to a new cloud-based platform. Employee data validation and testing are required before the go-live date.,HR
Approval to promote from within ,Manager recommending an internal candidate for a senior position rather than external hiring. Requesting approval to fast-track the internal promotion process.,Manager
Payroll tax filing error discovered ,"After filing the quarterly payroll tax return, an error was discovered in the taxable wages reported. An amended return needs to be filed promptly.",Finance
Cybersecurity incident report filing ,"Following a phishing attack that compromised one employee account, IT needs to complete the mandatory cybersecurity incident report for the compliance team.",IT Support
Product assembly instructions unclear ,Customer received a self-assembly furniture item but the printed instructions are unclear and diagrams are too small to follow. Requesting detailed guide.,Customer Support
Technology adoption roadmap review ,IT and operations managers are requesting a management review of the 3-year technology adoption roadmap to ensure it aligns with the revised business strategy.,Manager
Cybersecurity incident report filing ,"Following a phishing attack that compromised one employee account, IT needs to complete the mandatory cybersecurity incident report for the compliance team.",IT Support
Statutory payment confirmation needed ,Finance team needs written confirmation from the bank that a statutory payment to the government authority was processed successfully and on time.,Finance
Technology adoption roadmap review,IT and operations managers are requesting a management review of the 3-year technology adoption roadmap to ensure it aligns with the revised business strategy.,Manager
Complaint about product environmental impact ,Customer wants to raise a concern about non-recyclable packaging used for a product they ordered and is requesting the company's sustainability policy.,Customer Support
Dispatch schedule not coordinated with production ,Operations team is dispatching goods before the production quality check is completed. This coordination gap has resulted in customer complaints about quality.,Operations
Product listing shows wrong specifications ,Customer purchased a laptop based on the listed specifications but the delivered product has a lower RAM configuration than what was advertised online.,Customer Support
Merger due diligence team formation ,"Following a board decision to explore a potential acquisition, management needs to form an internal due diligence team from finance, legal, HR and operations.",Manager
Revenue deferral calculation for subscription ,Company sells annual subscriptions and needs guidance on how to correctly defer and recognize revenue on a monthly basis for accounting purposes.,Finance
Cybersecurity incident report filing ,"Following a phishing attack that compromised one employee account, IT needs to complete the mandatory cybersecurity incident report for the compliance team.",IT Support
Approval for overtime during critical period ,"Due to an unexpected surge in demand, manager is requesting pre-approval for overtime work for the entire team for the next three weekends.",Manager
Technology adoption roadmap review ,IT and operations managers are requesting a management review of the 3-year technology adoption roadmap to ensure it aligns with the revised business strategy.,Manager
Skill gap analysis for department ,HR is conducting a skill gap analysis for the engineering department to identify training priorities and inform the next year's learning and development budget.,HR
Invoice processing automation failing,An automated workflow that processes and routes vendor invoices for approval has stopped functioning. Invoices are piling up and vendor payments are at risk.,IT Support
Statutory payment confirmation needed ,Finance team needs written confirmation from the bank that a statutory payment to the government authority was processed successfully and on time.,Finance
Cross-platform file compatibility issue ,A document created on a Mac is displaying formatting errors when opened on Windows. The issue is affecting collaboration between Mac and PC users.,IT Support
Loyalty tier downgraded incorrectly ,Customer was downgraded from Gold to Silver membership tier even though they did not fall below the spending threshold required to maintain Gold status.,Customer Support
Password manager enterprise deployment ,IT is deploying an enterprise password manager to all employees and needs to schedule training sessions for each department to ensure adoption.,IT Support
Cybersecurity incident report filing ,"Following a phishing attack that compromised one employee account, IT needs to complete the mandatory cybersecurity incident report for the compliance team.",IT Support
Medical reimbursement documents rejected ,Employee's medical reimbursement claim was rejected citing incomplete documentation even though all required documents listed in the policy were submitted.,Finance
Product assembly instructions unclear ,Customer received a self-assembly furniture item but the printed instructions are unclear and diagrams are too small to follow. Requesting detailed guide.,Customer Support
Subscription billing date changed without notice,Customer's billing date shifted from the 5th to the 18th of the month without any communication. This has caused budgeting inconvenience.,Customer Support
Apprenticeship program enrollment ,Two school leavers have been selected for the company's apprenticeship program. HR needs to complete their enrollment and arrange their first-week schedule.,HR
Product photo submission not credited ,Customer submitted a product photo for the community gallery as part of a rewards program but did not receive the promised credit points.,Customer Support
Approval for project scope change ,Project requirements have changed significantly due to client feedback. Manager is requesting formal approval for the amended scope before work resumes.,Manager
Customs clearance delay for imported goods ,A shipment of imported raw materials has been held at customs for 8 days. Agent reports documentation issues. Production schedule is at risk.,Operations
Cold storage temperature alarm ,The cold storage unit for perishable inventory triggered a temperature alarm overnight. Stock may be compromised. Immediate assessment is needed.,Operations
Staff welfare expense approval ,"Department is requesting finance approval for INR 12,000 in staff welfare expenses for a team celebration following the successful project completion.",Finance
Damaged product on arrival ,Product arrived with a cracked casing and dented corners. Packaging appeared intact suggesting the damage occurred during manufacturing or packing.,Customer Support
Graduate trainee program assessment ,The 12-month graduate trainee program is coming to an end and HR needs to coordinate the final assessments and conversion offers for the successful trainees.,HR
Overtime authorization for production target,Production team is requesting pre-authorized overtime for the next two weeks to meet a large customer order that was placed on short notice.,Operations
Competency framework rollout ,HR is rolling out a new competency framework across the organization and needs department heads to map their team roles to the new competency levels.,HR
Unpaid leave impact on benefits ,"Employee planning to take unpaid leave for 3 months wants to understand the impact on their health insurance, PF contributions and annual leave accrual.",HR
Technology adoption roadmap review ,IT and operations managers are requesting a management review of the 3-year technology adoption roadmap to ensure it aligns with the revised business strategy.,Manager
Account showing wrong membership tier ,Customer's account displays a Silver membership tier but they believe they have accumulated enough points to qualify for Gold status.,Customer Support
Email newsletter has broken images ,Customer receives the weekly newsletter but all images are broken and only image placeholder icons are visible. Text content is readable.,Customer Support
Foreign vendor payment blocked by bank ,An international wire transfer to a foreign vendor was blocked by the bank citing regulatory compliance review. Vendor is waiting for urgent payment.,Finance
Product assembly instructions unclear ,Customer received a self-assembly furniture item but the printed instructions are unclear and diagrams are too small to follow. Requesting detailed guide.,Customer Support
Subscription not reflecting after payment ,Customer paid for a premium subscription upgrade but the account still shows free tier status. Payment confirmation email was received.,Customer Support
Cold storage temperature alarm ,The cold storage unit for perishable inventory triggered a temperature alarm overnight. Stock may be compromised. Immediate assessment is needed.,Operations
Year-end performance rating distribution ,HR is reviewing the distribution of year-end performance ratings across departments to ensure consistency and fairness before ratings are communicated to employees.,HR
Goods returned by customer quality check ,A batch of goods was returned by a major customer citing quality defects. Operations needs to inspect the batch and initiate a root cause analysis.,Operations
SharePoint site permission error ,Employee is getting an access denied error when trying to open a SharePoint site that they were recently granted access to. Permissions appear to be set correctly.,IT Support
Partial order delivered,Customer received only 2 out of 4 items ordered. The packing slip inside shows all 4 items but only 2 were physically in the box.,Customer Support
Succession plan for key departing employee ,A key technical employee has submitted their resignation. Manager is requesting immediate support to identify and develop a succession candidate.,Manager
Vendor payment on credit hold ,Procurement placed a vendor on credit hold due to quality issues. Finance needs to confirm whether pending invoices from this vendor should still be paid.,Finance
Vendor lead time increased unexpectedly ,Key vendor has informed that their standard lead time is increasing from 2 weeks to 6 weeks due to supply chain issues. Production planning needs to be adjusted.,Operations
Order delivery window too wide ,Customer was given a delivery window of 9 AM to 9 PM which required them to stay home all day. Requesting more precise delivery time slots.,Customer Support
Overdraft fee charged on company account ,Company's current account was charged an overdraft fee this month. Finance team needs to investigate the reason and ensure it does not recur.,Finance
Time tracking system not recording correctly ,Employee's time entries in the project time tracking system are not being saved. The form submits successfully but entries disappear after page refresh.,IT Support
Diversity recruitment target progress ,HR is reviewing progress against diversity hiring targets for the year and preparing a report for the DEI committee meeting scheduled for next month.,HR
Large file transfer solution needed ,An employee needs to send a 4GB project file to an external partner. Email is not suitable and a secure large file transfer solution is required.,IT Support
Customer contract profitability review ,Finance analysis shows a major customer contract is operating at below target margins. Requesting management strategy session to decide on renegotiation approach.,Manager
Legacy data migration from old server ,An old physical server being decommissioned holds 5 years of archived project data. All data must be migrated to the new storage system before shutdown.,IT Support
Accounting software login not working ,Finance team member is unable to log into the accounting software since their password was reset. IT-generated temporary password is also not working.,Finance
Intranet page returning error 500 ,"The company intranet homepage is showing an internal server error for all users. This is preventing employees from accessing news, policies and HR resources.",IT Support
Unable to download purchase history ,Customer is trying to download their complete purchase history as a PDF for tax purposes but the download button is not functioning.,Customer Support
Staff welfare expense approval ,"Department is requesting finance approval for INR 12,000 in staff welfare expenses for a team celebration following the successful project completion.",Finance
Internal loan between subsidiaries ,Parent company needs to provide an internal loan to a subsidiary to fund working capital. Finance needs to prepare the intercompany loan documentation.,Finance
Dispatch schedule not coordinated with production,Operations team is dispatching goods before the production quality check is completed. This coordination gap has resulted in customer complaints about quality.,Operations
Product stopped working after 2 days ,A newly purchased electronic item functioned for two days and then stopped working completely. No physical damage and used as per instructions.,Customer Support
Inbound inspection backlog ,The incoming goods inspection team has a backlog of 3 days worth of shipments waiting to be inspected. Production is being delayed as a result.,Operations
Wi-Fi dead zones in office ,Employees in the northwest corner of the 4th floor consistently experience poor or no Wi-Fi connectivity. Additional access points may need to be installed.,IT Support
Domain name renewal lapse risk,IT administrator flagged that two company domain names are due for renewal in 8 days. Previous renewal was missed causing a brief website outage.,IT Support
Cross-platform file compatibility issue ,A document created on a Mac is displaying formatting errors when opened on Windows. The issue is affecting collaboration between Mac and PC users.,IT Support
Dispatch schedule not coordinated with production ,Operations team is dispatching goods before the production quality check is completed. This coordination gap has resulted in customer complaints about quality.,Operations
New employee orientation session scheduling,"Five new employees are joining next week and their orientation sessions, including office tours, policy briefings and team introductions, need to be scheduled.",HR
HR helpdesk response time complaint,Employees are complaining that HR queries submitted through the internal helpdesk are taking more than 5 days to receive a response. Escalation needed.,HR
Approval for overtime during critical period ,"Due to an unexpected surge in demand, manager is requesting pre-approval for overtime work for the entire team for the next three weekends.",Manager
Referral link not generating discount ,Customer shared their referral link with friends who signed up but neither the customer nor their friends received the promised referral discount.,Customer Support
Tool crib inventory discrepancy ,The tool crib inventory count does not match the system records. Several expensive tools are missing and their last checkout was not recorded.,Operations
Third-party logistics partner performance drop ,Delivery completion rates by the third-party logistics partner have dropped from 96 percent to 81 percent in the last month. Contract review is needed.,Operations
Forklift operator certification expired ,The certification for two forklift operators in the warehouse has expired. They cannot legally operate the equipment until recertification is completed.,Operations
Diversity recruitment target progress ,HR is reviewing progress against diversity hiring targets for the year and preparing a report for the DEI committee meeting scheduled for next month.,HR
Store credit not applied at checkout ,Customer has store credit in their account but the option to apply it during checkout is not visible. Credit shows correctly on the account page.,Customer Support
Subscription not reflecting after payment ,Customer paid for a premium subscription upgrade but the account still shows free tier status. Payment confirmation email was received.,Customer Support
Incorrect discount applied ,Customer was promised a 20 percent discount via a loyalty email but at checkout only a 10 percent discount was applied. Screenshot of email attached.,Customer Support
Employee self-service portal error ,Employees are getting errors when trying to submit IT requests through the self-service portal. The submit button is returning a form validation error.,IT Support
Investment policy compliance check ,CFO has requested a review of all short-term investments to ensure they comply with the board-approved investment policy and risk guidelines.,Finance
Incorrect exchange rate used in report,Monthly financial report used an exchange rate from the prior month instead of the current rate. All foreign currency figures need to be restated.,Finance
Product photo submission not credited ,Customer submitted a product photo for the community gallery as part of a rewards program but did not receive the promised credit points.,Customer Support
Recall management coordination ,"Quality team has initiated a product recall affecting 3,000 units. Operations must coordinate the logistics of collecting, tracking and disposing of recalled goods.",Operations
Virtual machine snapshot storage full ,The virtual machine snapshot storage volume is at 97 percent capacity. Old snapshots need to be reviewed and deleted to prevent system failures.,IT Support
Staff augmentation request ,A department experiencing a temporary workload spike is requesting 4 contract staff for a 2-month period to manage project delivery without permanent headcount.,HR
HR helpdesk response time complaint ,Employees are complaining that HR queries submitted through the internal helpdesk are taking more than 5 days to receive a response. Escalation needed.,HR
Employee referral program update ,HR is updating the employee referral program terms and needs to communicate the new bonus amounts and eligibility criteria to all staff.,HR
Safety incident near miss report ,A near-miss safety incident occurred in the warehouse when a stack of goods nearly fell on a worker. Formal incident report and safety review required.,Operations
Laptop battery draining too fast ,Employee's laptop battery that previously lasted 8 hours is now depleting in under 2 hours. No change in usage patterns. Battery health check needed.,IT Support
Approval for AI tool procurement ,Technology team has evaluated three AI-powered productivity tools and recommends one for company-wide adoption. Requesting management approval for the purchase.,Manager
Product expiry date already passed on delivery ,Customer received a consumable product and noticed the expiry date on the package had already passed before the delivery date.,Customer Support
Statutory payment confirmation needed ,Finance team needs written confirmation from the bank that a statutory payment to the government authority was processed successfully and on time.,Finance
Audit committee presentation preparation ,"Finance is preparing the quarterly presentation for the audit committee covering financial performance, risk areas and compliance status for review.",Finance
Quarter-end closing deadline missed by department ,A department failed to submit their accrual information by the quarter-end closing deadline causing the financial statements to be delayed.,Finance
Vendor shortlisting for new service ,Procurement team has shortlisted three vendors for a new service. Requesting management review of evaluation scorecard and decision on preferred vendor.,Manager
Asset impairment review required ,One of the company's major assets may have declined in value due to market changes. An impairment review and possible write-down needs to be initiated.,Finance
Termination letter issuance ,"Following a disciplinary process that concluded with a termination decision, HR needs to prepare and issue the formal termination letter to the employee.",HR
Client onboarding process improvement ,Multiple clients have complained about the complexity of the onboarding process. Manager is requesting approval to redesign the process with a dedicated ticket force.,Manager
Customer advance receipt accounting ,Sales team received a large advance payment from a new customer. Finance needs guidance on how to record and report this in the financial statements.,Finance
Moonlighting policy clarification ,An employee has asked HR for clarification on whether they are permitted to take on freelance work outside of office hours under the current employment contract.,HR
Payroll cut-off date reminder ,"HR is reminding all managers that any salary-related changes including promotions, transfers and terminations must be submitted before the payroll cut-off date.",HR
Charitable donation tax deduction query ,Company made a donation to a registered charity last month. Finance needs to confirm the correct tax deduction section under which to claim the exemption.,Finance
Network monitoring tool false alerts,"The network monitoring tool is generating a high volume of false positive alerts, causing the IT team to miss genuine issues in the noise.",IT Support
Team skill development plan approval ,Manager has prepared a 12-month skill development plan for their team and is requesting senior management approval before communicating it to employees.,Manager
Brand ambassador program launch ,Marketing has proposed an employee brand ambassador program for social media. Requesting management approval and guidelines before inviting employees to participate.,Manager
Approval to promote from within ,Manager recommending an internal candidate for a senior position rather than external hiring. Requesting approval to fast-track the internal promotion process.,Manager
Legacy data migration from old server ,An old physical server being decommissioned holds 5 years of archived project data. All data must be migrated to the new storage system before shutdown.,IT Support
API access token expired ,A developer's API access token for an internal service has expired. Requests are returning 401 unauthorized errors and token renewal process is unclear.,IT Support
New employee orientation session scheduling ,"Five new employees are joining next week and their orientation sessions, including office tours, policy briefings and team introductions, need to be scheduled.",HR
Quarterly VAT return preparation ,Finance team is requesting supporting data from all departments for the quarterly VAT return which is due to be filed within the next 10 working days.,Finance
Emergency exit blocked by stored goods ,"During a routine inspection, an emergency exit on the ground floor was found to be blocked by stored pallets. Immediate removal required for safety compliance.",Operations
Staff welfare expense approval ,"Department is requesting finance approval for INR 12,000 in staff welfare expenses for a team celebration following the successful project completion.",Finance
IP address conflict on network ,Two devices on the local network have been assigned the same static IP address causing intermittent connectivity loss for both. DHCP configuration review needed.,IT Support
Approval for external legal counsel ,An emerging contractual dispute with a client may require specialized legal advice beyond the company's internal legal team capabilities. External counsel approval needed.,Manager
Vendor payment on credit hold ,Procurement placed a vendor on credit hold due to quality issues. Finance needs to confirm whether pending invoices from this vendor should still be paid.,Finance
Staff augmentation request ,A department experiencing a temporary workload spike is requesting 4 contract staff for a 2-month period to manage project delivery without permanent headcount.,HR
Corporate Wi-Fi not connecting on new device ,A newly issued tablet cannot connect to the corporate wireless network. The device can see the network but authentication fails repeatedly.,IT Support
Promotion announcement communication ,Three employees have been promoted and HR needs to coordinate with their managers to send formal announcement communications to their respective teams.,HR
Forklift operator certification expired,The certification for two forklift operators in the warehouse has expired. They cannot legally operate the equipment until recertification is completed.,Operations
Account blocked after chargeback ,Customer raised a legitimate chargeback with their bank for an undelivered item but their account was suspended as a result. Requesting reinstatement.,Customer Support
Internal loan between subsidiaries ,Parent company needs to provide an internal loan to a subsidiary to fund working capital. Finance needs to prepare the intercompany loan documentation.,Finance
Approval for overtime during critical period ,"Due to an unexpected surge in demand, manager is requesting pre-approval for overtime work for the entire team for the next three weekends.",Manager
Product expiry date already passed on delivery ,Customer received a consumable product and noticed the expiry date on the package had already passed before the delivery date.,Customer Support
Time tracking system not recording correctly ,Employee's time entries in the project time tracking system are not being saved. The form submits successfully but entries disappear after page refresh.,IT Support
Packing material quality failure ,Incoming packing materials from the current supplier have failed quality checks. Operations needs to decide whether to reject the batch or use it with increased monitoring.,Operations
Annual leave year-end carryover policy update ,HR is reviewing and updating the annual leave carryover policy for the new year and needs to communicate the changes to all employees with examples.,HR
Monthly closing checklist completion ,Finance manager is following up with team members on outstanding items in the month-end closing checklist that are due by end of business today.,Finance
Internship offer letter issuance ,"Eight selected interns for the summer program need to receive formal offer letters with internship terms, stipend details and joining instructions.",HR
Loading dock slip and fall hazard ,Water from an overnight rain has pooled on the loading dock floor. An employee slipped this morning. Immediate hazard remediation is required.,Operations
Vendor payment on credit hold ,Procurement placed a vendor on credit hold due to quality issues. Finance needs to confirm whether pending invoices from this vendor should still be paid.,Finance
Accounting software login not working ,Finance team member is unable to log into the accounting software since their password was reset. IT-generated temporary password is also not working.,Finance
Conditional access policy blocking remote login ,A new conditional access policy deployed last week is preventing employees from logging in from home even with valid VPN connections. Policy needs review.,IT Support
Rebate from vendor not accounted for ,"A rebate of INR 28,000 promised by a vendor at the end of the quarter was not recorded in the books. Vendor confirmed the rebate was issued.",Finance
Referral link not generating discount ,Customer shared their referral link with friends who signed up but neither the customer nor their friends received the promised referral discount.,Customer Support
Contractor to employee reclassification ,A contractor who has worked exclusively for the company for 18 months may need to be reclassified as a permanent employee to comply with labor law.,HR
Workstation imaging and reimaging request ,An employee's workstation has become unstable after multiple software issues. IT needs to reimage the device and restore data from the last backup.,IT Support
Product stopped working after 2 days ,A newly purchased electronic item functioned for two days and then stopped working completely. No physical damage and used as per instructions.,Customer Support
Machine calibration due ,Three precision machines in the production facility are due for calibration. Uncalibrated equipment may be producing out-of-specification products.,Operations
Legacy data migration from old server ,An old physical server being decommissioned holds 5 years of archived project data. All data must be migrated to the new storage system before shutdown.,IT Support
Large file transfer solution needed ,An employee needs to send a 4GB project file to an external partner. Email is not suitable and a secure large file transfer solution is required.,IT Support
Annual leave year-end carryover policy update ,HR is reviewing and updating the annual leave carryover policy for the new year and needs to communicate the changes to all employees with examples.,HR
Material handling equipment breakdown ,The conveyor belt system in the packaging area has broken down. Manual handling is being used temporarily but is slower and creating a backlog.,Operations
Software deployment failing via MDM ,IT attempted to push a software update to all managed devices using the MDM platform but the deployment is failing on 23 percent of devices.,IT Support
IT helpdesk portal not loading ,Employees are unable to access the IT helpdesk portal to submit tickets. The page times out. This means all tickets are being raised through email.,IT Support
Damaged product on arrival ,Product arrived with a cracked casing and dented corners. Packaging appeared intact suggesting the damage occurred during manufacturing or packing.,Customer Support
Intranet page returning error 500 ,"The company intranet homepage is showing an internal server error for all users. This is preventing employees from accessing news, policies and HR resources.",IT Support
Multi-factor authentication app switch ,IT is migrating all users from one authenticator app to another and needs to coordinate the transition with all employees to avoid login disruptions.,IT Support
Reward points expired without notice ,Customer's accumulated reward points expired without any prior email or in-app notification. Points had been saved for over 6 months.,Customer Support
Product listing shows wrong specifications ,Customer purchased a laptop based on the listed specifications but the delivered product has a lower RAM configuration than what was advertised online.,Customer Support
Shipping insurance claim not processed ,Customer paid for shipping insurance on a high-value item that was lost in transit. The insurance claim filed 3 weeks ago has not been processed.,Customer Support
Spare parts inventory running low ,Critical spare parts for production machinery are running below the minimum stock level. Procurement needs to be initiated before any equipment breakdown.,Operations
Rebate from vendor not accounted for ,"A rebate of INR 28,000 promised by a vendor at the end of the quarter was not recorded in the books. Vendor confirmed the rebate was issued.",Finance
Staff augmentation request,A department experiencing a temporary workload spike is requesting 4 contract staff for a 2-month period to manage project delivery without permanent headcount.,HR
Recall management coordination ,"Quality team has initiated a product recall affecting 3,000 units. Operations must coordinate the logistics of collecting, tracking and disposing of recalled goods.",Operations
Payroll tax filing error discovered ,"After filing the quarterly payroll tax return, an error was discovered in the taxable wages reported. An amended return needs to be filed promptly.",Finance
Quarterly goals review and reset,Mid-year review shows some departmental goals are no longer achievable due to market changes. Requesting management approval to reset two specific team targets.,Manager
Damaged product on arrival ,Product arrived with a cracked casing and dented corners. Packaging appeared intact suggesting the damage occurred during manufacturing or packing.,Customer Support
Spam emails bypassing corporate filter ,A large volume of phishing and spam emails are reaching employee inboxes despite the corporate email security filter. Filter rules may need updating.,IT Support
Approval to promote from within ,Manager recommending an internal candidate for a senior position rather than external hiring. Requesting approval to fast-track the internal promotion process.,Manager
Product stopped working after 2 days ,A newly purchased electronic item functioned for two days and then stopped working completely. No physical damage and used as per instructions.,Customer Support
Staff welfare expense approval ,"Department is requesting finance approval for INR 12,000 in staff welfare expenses for a team celebration following the successful project completion.",Finance
Incorrect bank details for salary transfer ,Employee's salary was credited to a wrong bank account this month due to an outdated bank detail on file. Requesting immediate reversal and correction.,Finance
Unpaid leave impact on benefits ,"Employee planning to take unpaid leave for 3 months wants to understand the impact on their health insurance, PF contributions and annual leave accrual.",HR
Print server migration planning ,IT is planning to migrate from a physical print server to a cloud print solution. Impact assessment and communication plan need to be developed.,IT Support
Support agent gave incorrect information ,Customer followed advice given by a support agent which resulted in their order being cancelled incorrectly. Requesting reinstatement and compensation.,Customer Support
Unable to download purchase history ,Customer is trying to download their complete purchase history as a PDF for tax purposes but the download button is not functioning.,Customer Support
Legacy data migration from old server ,An old physical server being decommissioned holds 5 years of archived project data. All data must be migrated to the new storage system before shutdown.,IT Support
Apprenticeship program enrollment ,Two school leavers have been selected for the company's apprenticeship program. HR needs to complete their enrollment and arrange their first-week schedule.,HR
Company social event planning ,"HR is planning the annual company social event and needs to confirm the budget, venue, date and activity options with management before sending invites.",HR
Software deployment failing via MDM ,IT attempted to push a software update to all managed devices using the MDM platform but the deployment is failing on 23 percent of devices.,IT Support
